                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.56245,                0.29042,                0.79644,                0.85212,                0.78926,                0.78213,                0.60546,                0.78511,                 0.4041,                0.83583,             0.00042419,             0.00042419,             0.00042419
                     84,                0.56433,                0.28906,                0.80313,                0.94612,                0.72295,                0.78021,                0.59209,                 0.7975,                0.40063,                0.83793,             0.00042065,             0.00042065,             0.00042065
                     85,                0.56895,                0.29747,                0.80926,                0.83387,                0.80768,                 0.7878,                0.59393,                0.78464,                0.39728,                0.83507,             0.00041712,             0.00041712,             0.00041712
                     86,                 0.5533,                0.29044,                0.80068,                0.82066,                0.79787,                0.78642,                0.58817,                0.79607,                0.40229,                0.83679,             0.00041358,             0.00041358,             0.00041358
                     87,                0.56925,                0.30507,                0.79508,                0.92411,                0.72996,                0.78864,                0.59049,                0.79833,                0.39443,                0.83913,             0.00041005,             0.00041005,             0.00041005
                     88,                0.55282,                 0.2889,                0.80005,                0.86464,                 0.7855,                0.79606,                0.59735,                0.78458,                0.39627,                0.83623,             0.00040652,             0.00040652,             0.00040652
                     89,                0.57026,                0.29674,                0.79583,                0.85007,                0.74893,                0.78646,                0.59426,                0.79668,                0.39719,                0.83994,             0.00040298,             0.00040298,             0.00040298
                     90,                0.54291,                0.28586,                0.79351,                0.90997,                0.74789,                0.78384,                0.59425,                0.79301,                0.39471,                0.83707,             0.00039945,             0.00039945,             0.00039945
                     91,                0.54538,                0.28463,                0.79869,                0.92347,                0.73711,                0.78342,                0.59258,                0.80953,                0.39867,                0.84029,             0.00039591,             0.00039591,             0.00039591
                     92,                0.54531,                0.28302,                0.79593,                 0.8824,                0.79757,                 0.8298,                0.61012,                0.79872,                0.39935,                0.83877,             0.00039238,             0.00039238,             0.00039238
                     93,                0.55057,                0.28507,                0.79713,                0.90221,                0.73596,                0.79727,                 0.6019,                0.78712,                 0.3953,                0.83846,             0.00038884,             0.00038884,             0.00038884
                     94,                0.55524,                 0.2904,                0.79796,                0.90585,                0.78768,                  0.797,                0.60514,                0.78507,                0.39255,                0.83678,             0.00038531,             0.00038531,             0.00038531
                     95,                0.55001,                0.29286,                0.79607,                0.88295,                0.79871,                 0.7952,                0.60192,                0.78935,                0.39573,                 0.8367,             0.00038178,             0.00038178,             0.00038178
                     96,                0.54888,                0.28464,                 0.7967,                 0.8526,                0.81092,                0.79437,                0.59137,                0.78583,                0.38902,                0.83658,             0.00037824,             0.00037824,             0.00037824
                     97,                0.55166,                0.28646,                 0.7988,                0.86273,                0.79618,                0.80431,                0.60452,                0.77369,                 0.3894,                0.83348,             0.00037471,             0.00037471,             0.00037471
                     98,                0.53654,                0.28044,                0.79565,                0.85552,                0.80139,                0.79081,                0.59654,                0.78441,                0.39004,                 0.8359,             0.00037117,             0.00037117,             0.00037117
                     99,                0.54749,                0.29263,                0.80041,                0.96425,                0.72018,                0.78231,                0.58781,                0.78563,                0.38942,                0.83724,             0.00036764,             0.00036764,             0.00036764
                    100,                0.53893,                0.28216,                0.79707,                0.95005,                0.72229,                0.78643,                0.59897,                0.78996,                0.39571,                0.83569,              0.0003641,              0.0003641,              0.0003641
                    101,                0.56029,                0.28767,                0.79985,                0.93873,                0.72225,                0.78496,                 0.5932,                0.78517,                0.39235,                0.83531,             0.00036057,             0.00036057,             0.00036057
                    102,                0.55808,                0.28853,                0.80019,                0.94023,                  0.726,                0.78337,                0.59051,                0.79077,                0.38829,                0.83612,             0.00035704,             0.00035704,             0.00035704
                    103,                0.51604,                0.27927,                0.79345,                0.95009,                0.73016,                0.79377,                0.59565,                0.79128,                0.38948,                0.83779,              0.0003535,              0.0003535,              0.0003535
                    104,                0.52088,                0.27864,                0.78977,                0.83296,                0.79361,                 0.7981,                0.59044,                0.79564,                0.39049,                0.83853,             0.00034997,             0.00034997,             0.00034997
                    105,                0.53759,                0.27835,                0.79525,                0.86434,                0.79805,                0.79838,                0.58342,                0.80269,                0.39034,                0.83735,             0.00034643,             0.00034643,             0.00034643
                    106,                0.53454,                0.27938,                0.79012,                0.90549,                0.79313,                0.80804,                0.60291,                0.78599,                0.39755,                0.83557,              0.0003429,              0.0003429,              0.0003429
                    107,                0.53149,                0.28024,                0.79747,                0.84775,                0.78123,                0.78818,                0.60852,                0.78198,                0.39088,                0.83596,             0.00033936,             0.00033936,             0.00033936
                    108,                0.54557,                0.28074,                0.80253,                0.90002,                0.73316,                0.78392,                0.60846,                0.78775,                0.39185,                0.83778,             0.00033583,             0.00033583,             0.00033583
                    109,                0.52685,                0.27948,                0.79422,                0.94243,                0.71499,                 0.7873,                0.59634,                0.78171,                0.39817,                0.83798,              0.0003323,              0.0003323,              0.0003323
                    110,                0.51754,                0.27406,                0.79113,                0.94251,                0.71609,                0.78505,                0.59316,                0.77187,                0.38887,                 0.8342,             0.00032876,             0.00032876,             0.00032876
                    111,                0.53794,                0.27855,                 0.7948,                 0.8972,                0.73213,                0.78727,                0.59451,                0.78473,                0.38523,                0.83661,             0.00032523,             0.00032523,             0.00032523
                    112,                0.52553,                0.28715,                0.79825,                0.94911,                0.73246,                0.80332,                0.60251,                0.78502,                 0.3868,                0.83761,             0.00032169,             0.00032169,             0.00032169
                    113,                0.53365,                0.27187,                 0.8029,                0.95663,                0.71924,                0.80048,                 0.5987,                0.77895,                0.39157,                0.83719,             0.00031816,             0.00031816,             0.00031816
                    114,                0.52432,                 0.2751,                0.79605,                0.86987,                0.76674,                0.80057,                0.59875,                0.78883,                0.39485,                0.83871,             0.00031462,             0.00031462,             0.00031462
                    115,                0.51606,                0.26839,                0.79644,                 0.8524,                0.79607,                0.79266,                0.59521,                0.78535,                0.39618,                 0.8349,             0.00031109,             0.00031109,             0.00031109
