                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.49302,                 0.2617,                0.79102,                0.92392,                0.79623,                0.79657,                0.58576,                0.78499,                 0.4116,                0.83964,             0.00050194,             0.00050194,             0.00050194
                     62,                0.50476,                0.26428,                0.79067,                0.88133,                0.79334,                0.79664,                0.60093,                0.77736,                0.41457,                0.84086,             0.00049841,             0.00049841,             0.00049841
                     63,                0.49591,                0.26065,                0.78772,                0.90317,                0.73416,                0.78043,                0.58172,                 0.7958,                0.38592,                0.84351,             0.00049487,             0.00049487,             0.00049487
                     64,                0.49177,                0.25829,                0.79188,                0.88908,                 0.8021,                0.81013,                0.59107,                0.78578,                0.40983,                0.83725,             0.00049134,             0.00049134,             0.00049134
                     65,                0.50285,                0.26832,                0.78987,                0.93434,                0.73541,                0.78132,                0.59288,                0.79104,                0.40426,                0.84064,              0.0004878,              0.0004878,              0.0004878
                     66,                0.50004,                0.26267,                0.79276,                0.90114,                0.73643,                 0.7682,                 0.5791,                0.80709,                0.39779,                0.84089,             0.00048427,             0.00048427,             0.00048427
                     67,                0.48879,                0.25928,                0.79159,                0.91853,                0.72847,                0.78844,                0.59836,                 0.7889,                0.39046,                0.84082,             0.00048074,             0.00048074,             0.00048074
                     68,                0.48459,                0.25605,                0.78865,                0.92699,                0.75225,                0.79604,                0.61469,                0.77335,                0.38265,                0.83902,              0.0004772,              0.0004772,              0.0004772
                     69,                0.47475,                0.25352,                0.78718,                 0.8547,                0.80048,                0.82316,                0.61485,                0.80615,                0.39564,                0.84291,             0.00047367,             0.00047367,             0.00047367
                     70,                0.49364,                0.25904,                 0.7904,                0.83819,                0.75317,                0.80889,                0.61098,                0.78924,                0.39767,                0.83882,             0.00047013,             0.00047013,             0.00047013
                     71,                 0.4952,                0.26009,                0.79322,                0.81656,                0.74317,                 0.7861,                0.59196,                0.78718,                0.39958,                0.84088,              0.0004666,              0.0004666,              0.0004666
                     72,                0.49285,                0.26129,                 0.7889,                0.90099,                0.72632,                0.79549,                0.59147,                0.78385,                0.40032,                 0.8399,             0.00046306,             0.00046306,             0.00046306
                     73,                 0.5005,                 0.2627,                0.78837,                0.88405,                0.74474,                0.80325,                 0.5904,                0.79203,                0.39933,                0.84148,             0.00045953,             0.00045953,             0.00045953
                     74,                0.49523,                0.25984,                0.79269,                0.83938,                0.79844,                0.79125,                0.59034,                0.78911,                 0.3933,                0.84189,               0.000456,               0.000456,               0.000456
                     75,                0.49371,                0.25525,                0.78784,                0.87956,                0.74885,                0.79752,                0.58175,                0.79592,                0.38944,                0.84076,             0.00045246,             0.00045246,             0.00045246
                     76,                0.48058,                0.25328,                0.79129,                0.86952,                0.79977,                 0.7852,                0.58957,                0.77325,                0.38904,                0.83744,             0.00044893,             0.00044893,             0.00044893
                     77,                0.48392,                 0.2533,                0.78651,                0.87546,                0.73613,                0.79538,                0.59091,                0.80198,                0.39287,                0.84343,             0.00044539,             0.00044539,             0.00044539
                     78,                0.48655,                0.25723,                0.78865,                0.92681,                0.72752,                0.80187,                0.59595,                0.78971,                0.40052,                0.84227,             0.00044186,             0.00044186,             0.00044186
                     79,                0.48566,                0.25727,                0.79219,                0.82545,                0.81055,                0.79262,                0.58471,                 0.7873,                 0.3949,                0.84337,             0.00043832,             0.00043832,             0.00043832
                     80,                0.49777,                0.26048,                   0.79,                0.89911,                0.77952,                0.80341,                0.59658,                0.79658,                0.40298,                0.84096,             0.00043479,             0.00043479,             0.00043479
                     81,                0.47683,                0.25134,                0.78691,                0.88356,                0.77544,                 0.7894,                0.59345,                0.79864,                0.39372,                0.84232,             0.00043126,             0.00043126,             0.00043126
                     82,                0.47927,                0.25955,                0.78709,                0.78911,                0.79081,                0.78889,                0.59225,                0.78562,                0.38771,                 0.8396,             0.00042772,             0.00042772,             0.00042772
                     83,                0.47714,                0.25211,                0.78953,                0.87897,                0.77281,                0.80179,                0.58545,                0.80373,                0.39215,                0.84343,             0.00042419,             0.00042419,             0.00042419
                     84,                0.48023,                  0.254,                0.79178,                0.88965,                0.72416,                0.79766,                 0.5969,                0.77811,                 0.3988,                0.84017,             0.00042065,             0.00042065,             0.00042065
                     85,                0.48684,                0.25708,                0.79851,                0.85195,                0.75081,                0.78062,                0.57318,                0.78559,                0.39857,                 0.8414,             0.00041712,             0.00041712,             0.00041712
                     86,                0.47795,                0.25626,                 0.7928,                0.85397,                0.73333,                0.77385,                0.58534,                0.78986,                0.40067,                0.84055,             0.00041358,             0.00041358,             0.00041358
